"stat_id","team_id","rank_id","year","games","wins","goals","shot_attempts","shots_on_goal","assists","faceoffs_won","opp_faceoffs_won","clear_attempts","clear_success","extra_man_opportunities","extra_man_goals","opp_extra_man_opportunities","man_down_goals","penalties","opp_goals","opp_shot_attempts","opp_shots_on_goal","opp_assists","opp_extra_man_goals","opp_clear_attempts","opp_clear_success","opp_man_down_goals","opp_penalties","def_adj","off_adj","modified","conference"
221,1,0,2012,18,14,203,684,418,103,235,187,317,270,67,5,71,2,78,163,597,332,95,5,350,307,0,0,1.01856,0.94038,"2012-05-14 17:56:23",0
252,2,0,2012,15,12,174,559,333,113,191,160,286,258,36,6,42,0,42,126,508,293,72,2,272,239,0,0,1.03252,0.967055,"2012-05-14 17:56:24",0
249,3,0,2012,15,10,163,521,316,95,164,165,253,225,40,6,53,1,54,119,443,253,65,5,247,215,0,0,1.06492,0.988718,"2012-05-14 17:56:24",0
235,4,0,2012,17,11,207,658,387,140,243,185,328,296,55,7,72,0,80,168,556,344,118,12,322,260,2,0,0.993851,0.943537,"2012-05-14 17:56:24",0
253,5,0,2012,17,7,167,515,319,104,147,248,305,266,60,11,40,0,44,168,579,343,101,4,267,230,0,0,1.01506,1.01031,"2012-05-14 17:56:25",0
250,6,0,2012,15,6,183,528,331,111,181,218,269,234,45,2,85,1,86,169,530,329,107,8,246,219,1,0,1.01463,1.08127,"2012-05-14 17:56:24",0
269,7,0,2012,13,4,124,465,279,76,160,161,235,213,49,6,27,0,31,149,436,286,78,6,253,217,1,0,1.01085,1.07055,"2012-05-14 17:56:25",0
248,8,0,2012,13,5,125,432,252,93,176,150,211,177,60,10,30,0,33,151,440,280,82,4,238,209,2,0,1.05178,1.0251,"2012-05-14 17:56:24",0
240,9,0,2012,14,2,105,412,246,59,127,190,275,231,58,6,65,2,69,164,528,314,75,7,272,244,1,0,1.03238,1.03159,"2012-05-14 17:56:24",0
260,10,0,2012,16,5,171,563,340,111,189,242,297,250,63,7,64,2,71,207,577,347,121,13,303,251,3,0,1.05221,0.983168,"2012-05-14 17:56:24",0
259,11,0,2012,17,9,176,617,387,112,180,208,342,303,74,19,67,0,68,157,537,317,85,11,349,283,1,0,1.00355,0.956971,"2012-05-14 17:56:24",0
245,12,0,2012,14,12,121,450,262,60,122,134,272,242,30,4,32,0,32,84,438,236,52,3,260,226,0,0,0.988863,0.968272,"2012-05-14 17:56:24",0
267,13,0,2012,13,7,124,456,280,67,155,140,282,238,47,3,56,0,57,129,430,264,75,6,300,240,0,0,1.01217,0.97104,"2012-05-14 17:56:25",0
241,14,0,2012,15,8,156,530,337,108,198,171,252,212,61,8,51,0,54,160,492,296,101,6,273,233,0,0,0.983465,0.918792,"2012-05-14 17:56:24",0
246,15,0,2012,15,8,136,488,278,78,165,164,267,220,61,10,49,0,53,145,539,326,79,10,250,223,0,0,0.97144,0.983094,"2012-05-14 17:56:24",0
222,16,0,2012,15,6,125,497,280,82,173,165,257,218,46,4,54,1,58,160,512,308,70,11,268,225,2,0,0.952059,0.991994,"2012-05-14 17:56:23",0
256,17,0,2012,14,2,103,358,214,55,137,153,241,200,54,7,36,1,42,135,502,295,86,8,246,206,1,0,0.926641,0.989571,"2012-05-14 17:56:24",0
242,18,0,2012,14,6,131,443,275,65,167,143,233,188,50,8,52,0,54,123,496,273,71,3,227,202,0,0,0.99406,0.945065,"2012-05-14 17:56:24",0
277,19,0,2012,8,8,105,313,198,73,108,71,124,118,46,13,47,0,48,54,241,144,22,5,132,106,1,0,1,1,"2012-05-14 17:56:23",1
216,20,0,2012,15,6,150,528,318,89,194,156,288,228,58,7,62,0,62,147,489,303,79,9,271,228,1,0,0.993153,0.988716,"2012-05-14 17:56:23",0
236,21,0,2012,15,9,131,507,313,63,151,155,271,228,48,5,44,0,46,122,485,291,76,5,270,214,0,0,1.01898,0.949647,"2012-05-14 17:56:24",0
251,22,0,2012,16,8,151,576,333,85,179,169,263,226,54,7,40,2,46,140,456,285,84,9,260,223,0,0,1.03067,0.96594,"2012-05-14 17:56:24",0
231,23,0,2012,15,7,119,391,249,70,154,162,258,215,45,1,54,0,54,149,553,333,100,6,275,235,0,0,1.01283,0.980383,"2012-05-14 17:56:24",0
234,24,0,2012,15,7,107,492,280,56,118,165,277,226,45,5,58,0,61,131,528,308,73,9,268,215,0,0,0.941529,1.02785,"2012-05-14 17:56:24",0
258,25,0,2012,15,9,188,558,332,118,230,147,240,199,55,7,30,0,39,138,493,284,65,6,248,218,0,0,1.0411,0.967204,"2012-05-14 17:56:24",0
244,26,0,2012,16,15,203,657,388,123,196,182,334,305,40,5,44,1,45,120,481,253,67,7,301,249,0,0,0.966959,1.00234,"2012-05-14 17:56:24",0
254,27,0,2012,16,12,157,572,360,74,209,150,277,231,41,2,52,2,55,145,549,329,87,3,280,238,0,0,1.0206,0.995348,"2012-05-14 17:56:25",0
220,28,0,2012,15,8,135,519,305,89,148,157,295,266,44,5,42,1,49,108,425,247,53,2,289,239,0,0,1.01382,0.980302,"2012-05-14 17:56:23",0
