team_id,team_name,conference
1,Duke,ACC
2,Virginia,ACC
3,Maryland,ACC
4,North Carolina,ACC
5,Stony Brook,America East
6,Hartford,America East
7,Binghamton,America East
8,UMBC,America East
9,Vermont,America East
10,Albany,America East
11,Syracuse,Big East
12,Notre Dame,Big East
13,Georgetown,Big East
14,Villanova,Big East
15,St. John's,Big East
16,Rutgers,Big East
17,Providence,Big East
18,Hofstra,Colonial
19,Massachusetts,Colonial
20,Delaware,Colonial
21,Penn State,Colonial
22,Drexel,Colonial
23,Towson,Colonial
24,Saint Joseph's,Colonial
25,Denver,ECAC
26,Loyola,ECAC
27,Fairfield,ECAC
28,Ohio State,ECAC
29,Air Force,ECAC
30,Hobart,ECAC
31,Bellarmine,ECAC
32,Cornell,Ivy League
33,Penn,Ivy League
34,Yale,Ivy League
35,Harvard,Ivy League
36,Brown,Ivy League
37,Princeton,Ivy League
38,Dartmouth,Ivy League
39,Siena,Metro Atlantic
40,Marist,Metro Atlantic
41,Detroit,Metro Atlantic
42,Jacksonville,Metro Atlantic
43,Canisius,Metro Atlantic
44,Manhattan,Metro Atlantic
45,VMI,Metro Atlantic
46,Mount St. Mary's,Northeast
47,Quinnipiac,Northeast
48,Robert Morris,Northeast
49,Bryant,Northeast
50,Sacred Heart,Northeast
51,Wagner,Northeast
52,Bucknell,Patriot
53,Colgate,Patriot
54,Army,Patriot
55,Lehigh,Patriot
56,Navy,Patriot
57,Holy Cross,Patriot
58,Lafayette,Patriot
59,Johns Hopkins,Independent
61,Presbyterian,Independent
60,Mercer,Independent
64,Michigan,ECAC
